id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
102078,102409.0,197481.0,,Gl 803,,,20.75264,-31.340899,9.9098,280.37,-360.09,-7.1,8.81,8.83,M1Ve,1.47,5.584971,-6.35954,-5.15434,9e-08,2.031e-05,-1.1e-05,5.433028427631017,-0.5470018824488425,1.3592721162e-06,-1.745765582e-06,,,Mic,1,102078,,0.0255858588690564,AU,8.868,8.758
118009,,,,GJ 2012,,,0.690425,-22.350742,9.9206,-422.64,-367.39,0.0,14.53,14.547,DQ9,0.62,9.025834,1.649371,-3.77256,-2.95e-06,-2.12e-05,-1.634e-05,0.180752905173025,-0.39009403157625,-2.0490165395e-06,-1.781171525e-06,,,Cet,1,118009,,0.0001321904253442,,,
4862,4872.0,,,Gl 49,,,1.043993,62.345045,9.9602,730.1,89.27,-5.6,9.56,9.569,K5V...,1.463,4.451317,1.24802,8.82229,-1.575e-05,3.22e-05,-3.07e-06,0.2733167287159652,1.088126301940255,3.5396246817e-06,4.32793172e-07,,,Cas,1,4862,,0.0129538838897488,,,
12671,12703.0,,,,,,2.720781,-54.117408,9.9671,35.05,9.53,0.0,12.16,12.167,,,4.421565,3.818177,-8.075542,-8.2e-07,1.53e-06,2.7e-07,0.7122987798629565,-0.9445269597259988,1.69927195e-07,4.6202743e-08,,,Hor,1,12671,,0.0011835864919618,,,
85406,85665.0,,,Gl 678.1A,,,17.506313,5.54852,9.9771,28.33,-248.17,-3.8,9.33,9.335,M1V...,1.461,-1.279893,-9.847494,0.964669,1.71e-06,2.51e-06,-1.232e-05,4.583142059792513,0.0968399473315287,1.373477157e-07,-1.203162111e-06,,,Oph,1,85406,Gl 678.1,0.0160694125301287,,,
118554,,,,GJ 3512,,,8.689501,59.499027,9.98,-254.45,-1285.05,0.0,15.05,15.054,m,1.93,-3.27887,3.860968,8.598973,-2.53e-05,4.88e-05,-3.154e-05,2.274906155579492,1.0384539218475,-1.2336084102e-06,-6.23010305e-06,,,UMa,1,118554,,8.28705077907e-05,,,
117460,117828.0,223889.0,,,,,23.897133,-75.632529,9.993,242.96,-378.18,0.0,9.99,9.992,M...,1.466,2.478766,-0.066693,-9.680461,-1.742e-05,1.224e-05,-4.55e-06,6.256254899654035,-1.3200366578482987,1.1779033183e-06,-1.833468377e-06,,,Oct,1,117460,,0.0087740478795675,,10.034,9.924
118041,,,,GJ 1028,,,1.081365,-18.124291,10.0,1270.75,425.19,0.0,14.46,14.46,m,1.87,9.125486,2.654896,-3.110793,-1.103e-05,6.095e-05,1.959e-05,0.283100722492283,-0.3163285555204,6.1607698457e-06,2.061369592e-06,,,Cet,1,118041,,0.0001432187899274,,,
119090,,,,GJ 3959,,,16.521808,40.863954,10.0,-175.0,303.11,0.0,14.79,14.79,m+,1.72,-2.854261,-7.00335,6.542651,-4.23e-06,1.21e-05,1.111e-05,4.325399114802951,0.7132105474525,-8.48423941e-07,1.46950905e-06,,,Her,1,119090,,0.0001056817509214,,,
119464,,,,GJ 4248,,,22.041357,-37.082355,10.0,799.42,-223.2,0.0,11.8,11.8,M3.5,1.65,6.951863,-3.91347,-6.029623,1.333e-05,3.697e-05,-8.63e-06,5.770413872876255,-0.64720918693395,3.8756975251e-06,-1.082118679e-06,,,Gru,1,119464,,0.0016595869074375,,,
119110,,,,GJ 3976,,,16.849259,22.450627,10.0,21.46,409.44,0.0,14.08,14.08,m,1.75,-2.742372,-8.82585,3.818871,3.24e-06,6.93e-06,1.834e-05,4.411125684050793,0.39183736357185,1.040410158e-07,1.985011437e-06,,,Her,1,119110,,0.0002032357010936,,,
118092,,,,GJ 3119,,,1.851118,-6.118806,10.0,531.89,-231.27,0.0,14.6,14.6,m,,8.7981,4.632201,-1.065904,-1.307e-05,2.226e-05,-1.115e-05,0.4846215707742753,-0.10679331539955,2.5786754855e-06,-1.121247991e-06,,,Cet,1,118092,,0.0001258925411794,,,
118321,,,,GJ 3304,,,4.636699,28.218456,10.0,356.5,-50.1,0.0,12.53,12.53,m,1.65,3.078488,8.25625,4.728346,-1.579e-05,7.12e-06,-2.14e-06,1.2138848860385592,0.4925049609324999,1.7283607712e-06,-2.4290135e-07,,,Tau,1,118321,,0.0008472274141406,,,
